2026-07-17T16:39:05.655Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,NanoState,elementTap,CMSIS_VS_BUTTON,button,,,,,
2026-07-17T16:39:05.655Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,NanoState,actionRun,CMSIS_VS_BUTTON,,,setState,,,
2026-07-17T16:39:05.655Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,NanoState,stateExit,,,722,,,,
2026-07-17T16:39:06.332Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,VSstate,elementTap,CMSIS_DAP_BUTTON,button,,,,,
2026-07-17T16:39:06.332Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,VSstate,actionRun,CMSIS_DAP_BUTTON,,,setState,,,
2026-07-17T16:39:06.332Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,VSstate,stateExit,,,677,,,,
2026-07-17T16:39:06.872Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,DAPstate,elementTap,CMSIS_HOME_BUTTON,button,,,,,
2026-07-17T16:39:06.872Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,DAPstate,actionRun,CMSIS_HOME_BUTTON,,,goToScene,,,
2026-07-17T16:39:06.872Z,a58bc85c-62c8-4979-933a-de694dc7e653,CMSIS,DAPstate,sceneExit,,,3243,,,,
2026-07-17T16:39:06.872Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,sceneEnter,,,,,,,
2026-07-17T16:39:08.819Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,elementTap,DevTools,button,,,,,
2026-07-17T16:39:08.819Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,actionRun,DevTools,,,goToScene,,,
2026-07-17T16:39:08.819Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,sceneExit,,,1947,,,,
2026-07-17T16:39:08.819Z,a58bc85c-62c8-4979-933a-de694dc7e653,DevTools,,sceneEnter,,,,,,,
2026-07-17T16:39:11.074Z,a58bc85c-62c8-4979-933a-de694dc7e653,DevTools,,elementTap,HomeButton,button,,,,,
2026-07-17T16:39:11.074Z,a58bc85c-62c8-4979-933a-de694dc7e653,DevTools,,actionRun,HomeButton,,,goToScene,,,
2026-07-17T16:39:11.074Z,a58bc85c-62c8-4979-933a-de694dc7e653,DevTools,,sceneExit,,,2255,,,,
2026-07-17T16:39:11.074Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,sceneEnter,,,,,,,
2026-07-17T16:39:12.173Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,elementTap,Zephyr,button,,,,,
2026-07-17T16:39:12.174Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,actionRun,Zephyr,,,goToScene,,,
2026-07-17T16:39:12.174Z,a58bc85c-62c8-4979-933a-de694dc7e653,Home,,sceneExit,,,1100,,,,
2026-07-17T16:39:12.174Z,a58bc85c-62c8-4979-933a-de694dc7e653,Zephyr,,sceneEnter,,,,,,,
2026-07-17T16:39:13.288Z,a58bc85c-62c8-4979-933a-de694dc7e653,Zephyr,,elementTap,ZEPHYR_PERCEPIO_BUTTON,button,,,,,
2026-07-17T16:39:13.288Z,a58bc85c-62c8-4979-933a-de694dc7e653,Zephyr,,actionRun,ZEPHYR_PERCEPIO_BUTTON,,,setState,,,
2026-07-17T16:39:13.288Z,a58bc85c-62c8-4979-933a-de694dc7e653,Zephyr,,stateExit,,,1114,,,,
2026-07-17T16:39:13.854Z,a58bc85c-62c8-4979-933a-de694dc7e653,Zephyr,ZephyrPercepio,elementTap,ZEPHYR_MC_BUTTON,button,,,,,
2026-07-17T16:39:13.855Z,a58bc85c-62c8-4979-933a-de694dc7e653,Zephyr,ZephyrPercepio,actionRun,ZEPHYR_MC_BUTTON,,,setState,,,
2026-07-17T16:39:13.855Z,a58bc85c-62c8-4979-933a-de694dc7e653,Zephyr,ZephyrPercepio,stateExit,,,567,,,,
2026-07-17T16:39:14.308Z,a58bc85c-62c8-4979-933a-de694dc7e653,Zephyr,ZephyrMicrochip,elementTap,ZEPHYR_BOARD_BUTTON,button,,,,,
2026-07-17T16:39:14.308Z,a58bc85c-62c8-4979-933a-de694dc7e653,Zephyr,ZephyrMicrochip,actionRun,ZEPHYR_BOARD_BUTTON,,,setState,,,
2026-07-17T16:39:14.308Z,a58bc85c-62c8-4979-933a-de694dc7e653,Zephyr,ZephyrMicrochip,stateExit,,,453,,,,
